personnel_id,first_name,last_name,dob,place_of_birth,batting_orientation,lifetime_ba,team_name
101,John,Doe,01/01/1990,London,Right,0.3,TeamA
102,Jane,Doe,02/02/1992,Manchester,Left,0.28,TeamA
103,Alice,Johnson,15/03/1995,Amsterdam,Switch,0.32,TeamA
104,Charlie,Brown,20/07/1988,London,Left,0.29,TeamA
105,David,Miller,12/09/1992,Sheffield,Right,0.31,TeamA
106,Eva,Williams,25/11/1987,Southampton,Right,0.305,TeamB
107,Frank,Davis,08/06/1990,Brighton,Left,0.295,TeamB
108,Grace,Jones,01/12/1985,London,Switch,0.3,TeamB
109,Hank,Smith,18/04/1993,Paris,Right,0.315,TeamB
110,Ivy,Clark,25/08/1980,Sheffield,Left,0.29,TeamB
111,Jack,Moore,14/02/1977,London,Right,0.31,TeamC
112,Karen,Taylor,30/06/1982,Durham,Left,0.295,TeamC
113,Liam,Wilson,10/11/1979,Glasgow,Right,0.31,TeamC
114,Mia,Hall,22/05/1991,London,Left,0.295,TeamC
115,Noah,Wright,05/09/1984,Brighton,Switch,0.3,TeamC
